"State","Date","Confirmed","Deaths"
"Alabama","2021-07-16",558577,11442
"Alaska","2021-07-16",72440,381
"Arizona","2021-07-16",906116,18100
"Arkansas","2021-07-16",362580,5992
"California","2021-07-16",3914172,64086
"Colorado","2021-07-16",565294,6876
"Connecticut","2021-07-16",350675,8282
"Delaware","2021-07-16",110270,1697
"District of Columbia","2021-07-16",49652,1146
"Florida","2021-07-16",2450344,38388
"Georgia","2021-07-16",1145976,21558
"Hawaii","2021-07-16",38966,523
"Idaho","2021-07-16",196856,2173
"Illinois","2021-07-16",1399946,25790
"Indiana","2021-07-16",760163,13940
"Iowa","2021-07-16",375278,6158
"Kansas","2021-07-16",324367,5201
"Kentucky","2021-07-16",469710,7284
"Louisiana","2021-07-16",495945,10828
"Maine","2021-07-16",69418,878
"Maryland","2021-07-16",463848,9778
"Massachusetts","2021-07-16",712272,18020
"Michigan","2021-07-16",1003432,21109
"Minnesota","2021-07-16",607524,7728
"Mississippi","2021-07-16",326804,7465
"Missouri","2021-07-16",649571,9889
"Montana","2021-07-16",114663,1691
"Nebraska","2021-07-16",225861,2275
"Nevada","2021-07-16",343096,5758
"New Hampshire","2021-07-16",99907,1381
"New Jersey","2021-07-16",1027954,26531
"New Mexico","2021-07-16",207189,4379
"New York","2021-07-16",2124168,53551
"North Carolina","2021-07-16",1022876,13523
"North Dakota","2021-07-16",110975,1567
"Ohio","2021-07-16",1116322,20595
"Oklahoma","2021-07-16",464607,7417
"Oregon","2021-07-16",211998,2817
"Pennsylvania","2021-07-16",1220060,27786
"Rhode Island","2021-07-16",152971,2736
"South Carolina","2021-07-16",601803,9862
"South Dakota","2021-07-16",124764,2041
"Tennessee","2021-07-16",872945,12533
"Texas","2021-07-16",3037130,52792
"Utah","2021-07-16",422619,2413
"Vermont","2021-07-16",24550,258
"Virginia","2021-07-16",684499,11477
"Washington","2021-07-16",460067,6042
"West Virginia","2021-07-16",164933,2919
"Wisconsin","2021-07-16",679826,8209
"Wyoming","2021-07-16",63523,760
"Alabama","2021-07-17",559478,11443
"Alaska","2021-07-17",72440,381
"Arizona","2021-07-17",906116,18100
"Arkansas","2021-07-17",362580,5992
"California","2021-07-17",3916129,64093
"Colorado","2021-07-17",565829,6886
"Connecticut","2021-07-17",350675,8282
"Delaware","2021-07-17",110339,1697
"District of Columbia","2021-07-17",49652,1146
"Florida","2021-07-17",2450344,38388
"Georgia","2021-07-17",1145976,21558
"Hawaii","2021-07-17",39090,523
"Idaho","2021-07-17",196856,2173
"Illinois","2021-07-17",1399946,25790
"Indiana","2021-07-17",760163,13940
"Iowa","2021-07-17",375278,6158
"Kansas","2021-07-17",324367,5201
"Kentucky","2021-07-17",469710,7284
"Louisiana","2021-07-17",495945,10828
"Maine","2021-07-17",69476,882
"Maryland","2021-07-17",464031,9780
"Massachusetts","2021-07-17",712272,18020
"Michigan","2021-07-17",1003432,21109
"Minnesota","2021-07-17",607524,7728
"Mississippi","2021-07-17",326804,7465
"Missouri","2021-07-17",651966,9894
"Montana","2021-07-17",114663,1691
"Nebraska","2021-07-17",225861,2275
"Nevada","2021-07-17",343096,5758
"New Hampshire","2021-07-17",99907,1381
"New Jersey","2021-07-17",1028503,26536
"New Mexico","2021-07-17",207189,4379
"New York","2021-07-17",2125535,53556
"North Carolina","2021-07-17",1022876,13523
"North Dakota","2021-07-17",111000,1568
"Ohio","2021-07-17",1116808,20600
"Oklahoma","2021-07-17",464607,7417
"Oregon","2021-07-17",211998,2817
"Pennsylvania","2021-07-17",1220385,27790
"Rhode Island","2021-07-17",152971,2736
"South Carolina","2021-07-17",601803,9862
"South Dakota","2021-07-17",124764,2041
"Tennessee","2021-07-17",872945,12533
"Texas","2021-07-17",3039664,52816
"Utah","2021-07-17",422619,2413
"Vermont","2021-07-17",24550,258
"Virginia","2021-07-17",684499,11477
"Washington","2021-07-17",460067,6042
"West Virginia","2021-07-17",164933,2919
"Wisconsin","2021-07-17",679826,8209
"Wyoming","2021-07-17",63523,760
"Alabama","2021-07-18",560202,11443
"Alaska","2021-07-18",72440,381
"Arizona","2021-07-18",908248,18117
"Arkansas","2021-07-18",362580,5992
"California","2021-07-18",3925431,64094
"Colorado","2021-07-18",566289,6887
"Connecticut","2021-07-18",350675,8282
"Delaware","2021-07-18",110387,1697
"District of Columbia","2021-07-18",49652,1146
"Florida","2021-07-18",2450344,38388
"Georgia","2021-07-18",1145976,21558
"Hawaii","2021-07-18",39254,523
"Idaho","2021-07-18",196856,2173
"Illinois","2021-07-18",1399946,25790
"Indiana","2021-07-18",760163,13940
"Iowa","2021-07-18",375278,6158
"Kansas","2021-07-18",324375,5198
"Kentucky","2021-07-18",469710,7284
"Louisiana","2021-07-18",495945,10828
"Maine","2021-07-18",69476,882
"Maryland","2021-07-18",464197,9781
"Massachusetts","2021-07-18",712272,18020
"Michigan","2021-07-18",1003432,21109
"Minnesota","2021-07-18",607524,7728
"Mississippi","2021-07-18",326804,7465
"Missouri","2021-07-18",653331,9894
"Montana","2021-07-18",114663,1691
"Nebraska","2021-07-18",225861,2275
"Nevada","2021-07-18",343096,5758
"New Hampshire","2021-07-18",99907,1381
"New Jersey","2021-07-18",1028931,26539
