ID,UTMx,UTMy,diam1993,diam1994,diam1995,diam1996,diam1997,diam1998,diam1999,diam2000,diam2001,diam2002,diam2003,diam2004,diam2005,diam2006,diam2007,diam2008,diam2009,diam2010,diam2011,plot
1,277992,3881407,3.7,NA,NA,NA,NA,4.1,NA,NA,NA,4,NA,4.1,NA,4.1,NA,4,NA,4.1,NA,118
2,278006,3881395,24.6,NA,NA,25.6,NA,26.4,NA,NA,NA,27,NA,27.8,NA,28.7,NA,29.1,NA,29.4,29.9,118
3,278040,3881441,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118
4,278004,3881391,18.6,NA,NA,19.1,NA,19.1,NA,NA,NA,19.5,NA,19.8,NA,20,NA,20.8,NA,21.1,21.1,118
5,277959,3881408,NA,NA,NA,NA,NA,58.8,NA,NA,NA,59.3,NA,60.3,NA,61.5,NA,62.3,NA,63.5,64.4,118
7,278037,3881421,NA,NA,NA,NA,NA,9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118
8,278037,3881421,NA,NA,NA,NA,NA,11.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118
9,277960,3881422,NA,NA,NA,NA,NA,19.6,NA,NA,NA,19.8,NA,20.1,NA,20.4,NA,20.2,NA,20.3,20.3,118
10,277993,3881410,2.5,NA,NA,3.5,NA,3.7,NA,NA,NA,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,118
11,277964,3881424,NA,NA,NA,NA,NA,46,NA,NA,NA,46.5,NA,47.1,NA,47.5,NA,48.4,NA,49.3,50.3,118
12,277960,3881427,NA,NA,NA,NA,NA,21.5,NA,NA,NA,21.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,118
14,277959,3881429,NA,NA,NA,NA,NA,3.1,NA,NA,NA,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,118
16,277965,3881429,NA,NA,NA,NA,NA,19.4,NA,NA,NA,19.5,NA,19.7,NA,19.7,NA,20,NA,20,20.2,118
19,277987,3881409,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118
23,277986,3881408,2.3,NA,NA,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118
24,277964,3881435,NA,NA,NA,NA,NA,14.3,NA,NA,NA,14.1,NA,14.2,NA,14.5,NA,14.6,NA,14.7,14.8,118
27,278019,3881370,NA,NA,NA,NA,NA,8.3,NA,NA,NA,8.3,NA,8.4,NA,8.4,NA,8.5,NA,8.6,8.8,118
28,278033,3881441,NA,NA,NA,NA,NA,10.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118
29,278019,3881370,NA,NA,NA,NA,NA,15.4,NA,NA,NA,15.7,NA,15.7,NA,15.7,NA,15.9,NA,15.9,15.8,118
30,278019,3881369,NA,NA,NA,NA,NA,2.1,NA,NA,NA,2.5,NA,2.9,NA,3.2,NA,3.5,NA,3.9,3.8,118
32,278020,3881370,NA,NA,NA,NA,NA,16.5,NA,NA,NA,17.5,NA,18,NA,19,NA,19.6,NA,20.6,21.3,118
33,278018,3881372,NA,NA,NA,NA,NA,18.3,NA,NA,NA,18.9,NA,19.1,NA,19.6,NA,19.6,NA,20,20.7,118
34,278016,3881372,NA,NA,NA,NA,NA,5.9,NA,NA,NA,5.9,NA,5.9,NA,6.3,NA,6,NA,6,6,118
35,278019,3881374,NA,NA,NA,NA,NA,13.5,NA,NA,NA,14.2,NA,14.6,NA,14.9,NA,15.2,NA,15.5,15.9,118
36,278017,3881374,NA,NA,NA,NA,NA,9,NA,NA,NA,9.2,NA,9.2,NA,9.3,NA,9.3,NA,9.4,9.8,118
37,277987,3881410,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118
38,278017,3881374,NA,NA,NA,NA,NA,5.7,NA,NA,NA,5.8,NA,5.9,NA,6,NA,6,NA,6.1,6.1,118
39,277984,3881417,4.6,NA,NA,4.3,NA,4.5,NA,NA,NA,4.9,NA,6.3,NA,6.4,NA,6,NA,7.1,7.3,118
40,278014,3881374,NA,NA,NA,NA,NA,8.2,NA,NA,NA,8.2,NA,8.2,NA,8.2,NA,8.3,NA,8.4,8.4,118
41,278013,3881377,NA,NA,NA,NA,NA,20.3,NA,NA,NA,21.6,NA,21.8,NA,22.5,NA,22.6,NA,23.8,23.6,118
42,278014,3881380,NA,NA,NA,NA,NA,16.7,NA,NA,NA,16.8,NA,17.2,NA,17.4,NA,17.6,NA,18.1,18.1,118
43,277994,3881411,6.7,NA,NA,7.3,NA,7.7,NA,NA,NA,7.9,NA,8.1,NA,8.5,NA,8.6,NA,8.8,9,118
44,278016,3881378,NA,NA,NA,NA,NA,29,NA,NA,NA,29.6,NA,30.2,NA,30.8,NA,31.1,NA,32.1,32.2,118
45,278021,3881375,NA,NA,NA,NA,NA,1.9,NA,NA,NA,2.2,NA,2.5,NA,2.8,NA,3.2,NA,3.7,4.6,118
46,277992,3881409,0.6,NA,NA,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,NA,NA,NA,0.6,0.6,118
48,277996,3881409,33.5,NA,NA,34.8,NA,35.7,NA,NA,NA,37.3,NA,38,NA,39.6,NA,40.2,NA,40.9,42,118
49,278019,3881379,NA,NA,NA,NA,NA,0.9,NA,NA,NA,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,118
50,277996,3881409,8.2,NA,NA,8.5,NA,8.9,NA,NA,NA,9.3,NA,9.6,NA,10,NA,10.5,NA,10.8,11.3,118
52,278019,3881379,NA,NA,NA,NA,NA,10,NA,NA,NA,9.8,NA,9.6,NA,NA,NA,NA,NA,NA,NA,118
53,278017,3881379,NA,NA,NA,NA,NA,0.6,NA,NA,NA,0.6,NA,0.6,NA,0.7,NA,0.8,NA,1,0.6,118
54,277997,3881407,0.6,NA,NA,NA,NA,1,NA,NA,NA,1.2,NA,0.9,NA,NA,NA,1.1,NA,1.2,1.2,118
55,277999,3881407,1,NA,NA,1.1,NA,1.2,NA,NA,NA,1.3,NA,1.3,NA,1.3,NA,1.4,NA,1.4,1.2,118
56,278017,3881383,NA,NA,NA,NA,NA,1.5,NA,NA,NA,1.4,NA,1.3,NA,1.2,NA,1.2,NA,1.2,1.2,118
57,277991,3881423,NA,NA,NA,NA,NA,1.5,NA,NA,NA,1.6,NA,1.6,NA,NA,NA,NA,NA,NA,NA,118
58,277994,3881416,7.2,NA,NA,7.6,NA,7.6,NA,NA,NA,7.8,NA,8.1,NA,NA,NA,NA,NA,NA,NA,118
59,278018,3881384,NA,NA,NA,NA,NA,9,NA,NA,NA,9.3,NA,9.5,NA,9.5,NA,9.7,NA,9.9,9.9,118
60,277995,3881423,NA,NA,NA,0.8,NA,1.4,NA,NA,NA,1.3,NA,1.4,NA,NA,NA,NA,NA,NA,NA,118
61,277995,3881423,NA,NA,NA,NA,NA,14.8,NA,NA,NA,16.2,NA,16.2,NA,16.6,NA,17.4,NA,18.1,18.3,118
62,278019,3881384,NA,NA,NA,NA,NA,15.2,NA,NA,NA,15.9,NA,16.3,NA,16.7,NA,16.9,NA,17.4,17.6,118
63,278000,3881453,NA,NA,NA,NA,NA,8.8,NA,NA,NA,8.9,NA,9,NA,9.2,NA,9,NA,9.2,9.2,118
64,278020,3881385,NA,NA,NA,NA,NA,14.1,NA,NA,NA,14.6,NA,15.2,NA,16,NA,16.2,NA,16.9,17.5,118
66,278021,3881382,NA,NA,NA,NA,NA,7.2,NA,NA,NA,7.4,NA,7.5,NA,7.8,NA,8,NA,8.5,8.6,118
67,278006,3881451,NA,NA,NA,NA,NA,11.7,NA,NA,NA,11.4,NA,11.8,NA,11.8,NA,11.3,NA,11.6,11.7,118
69,278001,3881406,1.1,NA,NA,1.4,NA,1.3,NA,NA,NA,1.4,NA,1.4,NA,NA,NA,NA,NA,NA,NA,118
70,278022,3881382,NA,NA,NA,NA,NA,2.4,NA,NA,NA,3.4,NA,4.2,NA,4.9,NA,5.5,NA,6.2,7.1,118
71,278022,3881382,NA,NA,NA,NA,NA,8.6,NA,NA,NA,9.6,NA,10.3,NA,11.5,NA,12.5,NA,13.3,14.1,118
72,277975,3881380,NA,NA,NA,NA,NA,32.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.8,118
73,278023,3881383,NA,NA,NA,NA,NA,11.5,NA,NA,NA,11.8,NA,12.4,NA,13.1,NA,13.8,NA,14.3,14.5,118
74,277976.2714,3881379.465,NA,NA,NA,NA,NA,12,NA,NA,NA,12.1,NA,12.4,NA,12.4,NA,12.5,NA,12.7,12.6,118
75,277999,3881406,2,NA,NA,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118
77,277980,3881381,NA,NA,NA,NA,NA,32.6,NA,NA,NA,32.9,NA,33.4,NA,33.9,NA,34.7,NA,35.1,35,118
80,277978,3881382,NA,NA,NA,NA,NA,1.5,NA,NA,NA,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,118
82,277974,3881382,NA,NA,NA,NA,NA,5.7,NA,NA,NA,5.8,NA,6,NA,6.1,NA,6.3,NA,6.5,6.6,118
83,278020,3881387,NA,NA,NA,NA,NA,7.5,NA,NA,NA,7.5,NA,7.6,NA,7.7,NA,7.9,NA,7.9,7.6,118
85,277976,3881385,NA,NA,NA,NA,NA,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118
86,278019,3881388,NA,NA,NA,NA,NA,7.3,NA,NA,NA,7.8,NA,7.9,NA,8.2,NA,8.1,NA,8.5,9.2,118
87,278019,3881388,NA,NA,NA,NA,NA,17.9,NA,NA,NA,18.6,NA,19,NA,19.8,NA,20.8,NA,21.1,21.5,118
89,277974,3881386,NA,NA,NA,NA,NA,12.8,NA,NA,NA,13.8,NA,13.2,NA,13.3,NA,13.4,NA,13.7,13.7,118
90,277975,3881386,NA,NA,NA,NA,NA,5.5,NA,NA,NA,5.3,NA,5.6,NA,NA,NA,NA,NA,NA,NA,118
91,278002,3881405,8.9,NA,NA,9.1,NA,9.5,NA,NA,NA,9.5,NA,9.7,NA,9.9,NA,10.1,NA,10.3,10.1,118
92,278024,3881385,NA,NA,NA,NA,NA,12.3,NA,NA,NA,12.2,NA,12.4,NA,12.6,NA,12.5,NA,12.5,12.6,118
93,277976,3881389,NA,NA,NA,NA,NA,2.6,NA,NA,NA,2.5,NA,2.6,NA,NA,NA,NA,NA,NA,NA,118
94,278026,3881388,NA,NA,NA,NA,NA,4.1,NA,NA,NA,3.9,NA,4.5,NA,4.6,NA,4.6,NA,4.6,4.8,118
96,278025,3881388,NA,NA,NA,NA,NA,1.6,NA,NA,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,118
97,278000,3881408,1.7,NA,NA,2.2,NA,2.5,NA,NA,NA,2.9,NA,3.1,NA,3.5,NA,3.7,NA,3.9,4.2,118
98,277976,3881389,NA,NA,NA,NA,NA,13.1,NA,NA,NA,13.4,NA,13.9,NA,14.3,NA,14.6,NA,15.4,15.6,118
100,278024,3881388,NA,NA,NA,NA,NA,7.4,NA,NA,NA,7.1,NA,7.2,NA,7.3,NA,7.3,NA,7.3,7.3,118
101,277978,3881388,NA,NA,NA,NA,NA,9,NA,NA,NA,9.2,NA,9.5,NA,9.5,NA,9.5,NA,10.1,9.8,118
103,278021,3881392,NA,NA,NA,NA,NA,20.3,NA,NA,NA,20.7,NA,21.3,NA,22.1,NA,22.7,NA,22.8,23.2,118
104,277980,3881385,NA,NA,NA,NA,NA,47,NA,NA,NA,48,NA,49.6,NA,51.3,NA,53.3,NA,53.5,53.8,118
105,277979,3881385,NA,NA,NA,NA,NA,7.4,NA,NA,NA,7.5,NA,7.7,NA,8,NA,8.3,NA,8.5,8.6,118
106,277979,3881385,NA,NA,NA,NA,NA,12,NA,NA,NA,12,NA,12.2,NA,12.5,NA,12.7,NA,12.8,13,118
107,278019,3881393,NA,NA,NA,NA,NA,14.3,NA,NA,NA,14.6,NA,14.8,NA,15.2,NA,15.3,NA,15.5,15.8,118
108,278019,3881393,NA,NA,NA,NA,NA,19.5,NA,NA,NA,19.4,NA,19.4,NA,19.5,NA,19.4,NA,19.3,19.8,118
109,278020,3881394,NA,NA,NA,NA,NA,0.7,NA,NA,NA,0.8,NA,0.8,NA,0.8,NA,0.7,NA,0.7,0.7,118
110,277978,3881385,NA,NA,NA,NA,NA,5.1,NA,NA,NA,5.1,NA,5.5,NA,5.5,NA,5.7,NA,5.7,5.7,118
111,277993,3881410,1.9,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118
114,277985,3881410,11,NA,NA,12.5,NA,13.5,NA,NA,NA,14.7,NA,15.7,NA,16.5,NA,17.5,NA,18,19.3,118
117,278024,3881394,NA,NA,NA,NA,NA,10.1,NA,NA,NA,10.3,NA,10.9,NA,11.5,NA,11.5,NA,12,12.2,118
119,278026,3881392,NA,NA,NA,NA,NA,18.8,NA,NA,NA,19,NA,19.2,NA,19.8,NA,19.9,NA,20.1,20.3,118
121,277983,3881410,NA,NA,NA,NA,NA,0.6,NA,NA,NA,0.6,NA,0.6,NA,0.7,NA,0.7,NA,1.1,1.1,118
122,278025,3881391,NA,NA,NA,NA,NA,18.1,NA,NA,NA,18.5,NA,19,NA,19.7,NA,20,NA,20.4,20.8,118
123,277991,3881409,NA,NA,NA,NA,NA,1,NA,NA,NA,1.5,NA,1.3,NA,1.7,NA,1.9,NA,1.8,2,118
124,277994,3881415,1.7,NA,NA,2.2,NA,2.8,NA,NA,NA,3.4,NA,3.7,NA,4,NA,4.8,NA,4.9,5.5,118
125,278026,3881391,NA,NA,NA,NA,NA,7.1,NA,NA,NA,6.6,NA,7,NA,7,NA,6.8,NA,7.1,7.2,118
126,277990,3881412,NA,NA,NA,NA,NA,3.7,NA,NA,NA,4.1,NA,4.5,NA,4.7,NA,5.1,NA,5.7,5.7,118
127,278024,3881390,NA,NA,NA,NA,NA,7.5,NA,NA,NA,7.5,NA,7.6,NA,7.9,NA,8,NA,8.1,8.3,118
129,278023,3881392,NA,NA,NA,NA,NA,9.2,NA,NA,NA,9.8,NA,10.1,NA,10.7,NA,NA,NA,NA,NA,118
130,277990,3881412,5.4,NA,NA,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118
131,278021,3881395,NA,NA,NA,NA,NA,0.6,NA,NA,NA,NA,NA,1.1,NA,1.2,NA,1.3,NA,1.3,1.3,118
